task,model_name,threshold_name,threshold,precision,recall,f1
task_a,dummy,default_0.5,0.5,0.0,0.0,0.0
task_a,dummy,best_f1,0.0,0.4473684210526316,1.0,0.6181818181818182
task_a,dummy,high_recall,0.0,0.4473684210526316,1.0,0.6181818181818182
task_a,dummy,high_precision,0.7,0.0,0.0,0.0
task_a,logistic_regression,default_0.5,0.5,0.9411764705882353,0.9411764705882353,0.9411764705882353
task_a,logistic_regression,best_f1,0.46134064263295854,0.9444444444444444,1.0,0.9714285714285714
task_a,logistic_regression,high_recall,0.6973188641719467,0.9375,0.8823529411764706,0.9090909090909091
task_a,logistic_regression,high_precision,0.38992697217736805,0.85,1.0,0.918918918918919
task_a,random_forest,default_0.5,0.5,0.85,1.0,0.918918918918919
task_a,random_forest,best_f1,0.5,0.85,1.0,0.918918918918919
task_a,random_forest,high_recall,0.6333333333333333,0.8823529411764706,0.8823529411764706,0.8823529411764706
task_a,random_forest,high_precision,0.5,0.85,1.0,0.918918918918919
task_a,extra_trees,default_0.5,0.5,0.8421052631578947,0.9411764705882353,0.8888888888888888
task_a,extra_trees,best_f1,0.4666666666666667,0.85,1.0,0.918918918918919
task_a,extra_trees,high_recall,0.6416666666666667,0.9375,0.8823529411764706,0.9090909090909091
task_a,extra_trees,high_precision,0.4666666666666667,0.85,1.0,0.918918918918919
task_a,gradient_boosting,default_0.5,0.5,0.8888888888888888,0.9411764705882353,0.9142857142857143
task_a,gradient_boosting,best_f1,0.4635654477761759,0.8947368421052632,1.0,0.9444444444444444
task_a,gradient_boosting,high_recall,0.9359912300270253,0.9375,0.8823529411764706,0.9090909090909091
task_a,gradient_boosting,high_precision,0.4161321630371109,0.85,1.0,0.918918918918919
task_a,calibrated_random_forest,default_0.5,0.5,0.8888888888888888,0.9411764705882353,0.9142857142857143
task_a,calibrated_random_forest,best_f1,0.5848801899792314,0.9411764705882353,0.9411764705882353,0.9411764705882353
task_a,calibrated_random_forest,high_recall,0.7052512632655407,1.0,0.8823529411764706,0.9375
task_a,calibrated_random_forest,high_precision,0.41470059965311595,0.85,1.0,0.918918918918919
task_b,dummy,default_0.5,0.5,0.631578947368421,1.0,0.7741935483870968
task_b,dummy,best_f1,1.0,0.631578947368421,1.0,0.7741935483870968
task_b,dummy,high_recall,1.0,0.631578947368421,1.0,0.7741935483870968
task_b,dummy,high_precision,0.7,0.631578947368421,1.0,0.7741935483870968
task_b,logistic_regression,default_0.5,0.5,0.9565217391304348,0.9166666666666666,0.9361702127659575
task_b,logistic_regression,best_f1,0.253149839468417,0.9230769230769231,1.0,0.96
task_b,logistic_regression,high_recall,0.8637913668367555,1.0,0.875,0.9333333333333333
task_b,logistic_regression,high_precision,0.23350235158697236,0.8571428571428571,1.0,0.9230769230769231
task_b,random_forest,default_0.5,0.5,1.0,0.9583333333333334,0.9787234042553191
task_b,random_forest,best_f1,0.5083333333333333,1.0,0.9583333333333334,0.9787234042553191
task_b,random_forest,high_recall,0.9083333333333333,1.0,0.875,0.9333333333333333
task_b,random_forest,high_precision,0.275,0.8571428571428571,1.0,0.9230769230769231
task_b,extra_trees,default_0.5,0.5,1.0,0.9166666666666666,0.9565217391304348
task_b,extra_trees,best_f1,0.3333333333333333,0.96,1.0,0.9795918367346939
task_b,extra_trees,high_recall,0.95,1.0,0.875,0.9333333333333333
task_b,extra_trees,high_precision,0.2,0.8571428571428571,1.0,0.9230769230769231
task_b,gradient_boosting,default_0.5,0.5,0.96,1.0,0.9795918367346939
task_b,gradient_boosting,best_f1,0.9966449609356718,1.0,1.0,1.0
task_b,gradient_boosting,high_recall,0.9999596953468382,1.0,0.875,0.9333333333333333
task_b,gradient_boosting,high_precision,0.0001093750847019952,0.8571428571428571,1.0,0.9230769230769231
task_b,calibrated_random_forest,default_0.5,0.5,0.9565217391304348,0.9166666666666666,0.9361702127659575
task_b,calibrated_random_forest,best_f1,0.36766950763148404,0.9583333333333334,0.9583333333333334,0.9583333333333334
task_b,calibrated_random_forest,high_recall,0.9287439095909734,1.0,0.875,0.9333333333333333
task_b,calibrated_random_forest,high_precision,0.2710795760794839,0.8571428571428571,1.0,0.9230769230769231
